tissue_locus	gene.x	tissue.x	Gene.x	CHR.x	START_POS.x	END_POS.x	arm.x	gene.y	tissue.y	Gene.y	CHR.y	START_POS.y	END_POS.y	arm.y
Brain_Fro_17q21.31	ENSR00000095057	Brain_Fro	ENSR00000095057	17	44422567	44422966	17q21.31	ENSG00000238083	Brain_Fro	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Fro_17q21.31	ENSR00000095057	Brain_Fro	ENSR00000095057	17	44422567	44422966	17q21.31	ENSG00000176681	Brain_Fro	LRRC37A	17	44370099	44415160	17q21.31
Brain_Fro_2q33.1	ENSR00000128481	Brain_Fro	ENSR00000128481	2	198748085	198748459	2q33.1	ENSG00000162971	Brain_Fro	TYW5	2	200793636	200820459	2q33.1
Brain_Fro_2q33.1	ENSR00000128482	Brain_Fro	ENSR00000128482	2	198753126	198754524	2q33.1	ENSG00000162971	Brain_Fro	TYW5	2	200793636	200820459	2q33.1
Brain_Hippo_17q21.31	ENSR00000094946	Brain_Hippo	ENSR00000094946	17	43576594	43576987	17q21.31	ENSG00000176681	Brain_Hippo	LRRC37A	17	44370099	44415160	17q21.31
Brain_Hippo_6p22.1	ENSR00000195227	Brain_Hippo	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000189298	Brain_Hippo	ZKSCAN3	6	28317724	28336949	6p22.1
Brain_Hypo_22q13.2	ENSR00000146626	Brain_Hypo	ENSR00000146626	22	41813805	41814604	22q13.2	ENSG00000100197	Brain_Hypo	CYP2D6	22	42522501	42526883	22q13.2
Brain_Hypo_22q13.2	ENSR00000146626	Brain_Hypo	ENSR00000146626	22	41813805	41814604	22q13.2	ENSG00000100393	Brain_Hypo	EP300	22	41488596	41576081	22q13.2
Brain_Hypo_6p22.1	ENSR00000195227	Brain_Hypo	ENSR00000195227	6	28387846	28388136	6p22.1	ENSG00000196812	Brain_Hypo	ZSCAN16	6	28092387	28097860	6p22.1
Brain_Nuc_17q21.31	ENSR00000095056	Brain_Nuc	ENSR00000095056	17	44420664	44421105	17q21.31	ENSG00000264589	Brain_Nuc	MAPT-AS1	17	43876756	43973046	17q21.31
Brain_Nuc_17q21.31	ENSR00000095056	Brain_Nuc	ENSR00000095056	17	44420664	44421105	17q21.31	ENSG00000238083	Brain_Nuc	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Nuc_17q21.31	ENSR00000095056	Brain_Nuc	ENSR00000095056	17	44420664	44421105	17q21.31	ENSG00000176681	Brain_Nuc	LRRC37A	17	44370099	44415160	17q21.31
Brain_Nuc_17q21.31	ENSR00000094946	Brain_Nuc	ENSR00000094946	17	43576594	43576987	17q21.31	ENSG00000264589	Brain_Nuc	MAPT-AS1	17	43876756	43973046	17q21.31
Brain_Nuc_17q21.31	ENSR00000094946	Brain_Nuc	ENSR00000094946	17	43576594	43576987	17q21.31	ENSG00000238083	Brain_Nuc	LRRC37A2	17	44588877	44633016	17q21.31
Brain_Nuc_17q21.31	ENSR00000094946	Brain_Nuc	ENSR00000094946	17	43576594	43576987	17q21.31	ENSG00000176681	Brain_Nuc	LRRC37A	17	44370099	44415160	17q21.31
Brain_Spi_22q13.2	ENSR00000301973	Brain_Spi	ENSR00000301973	22	42437205	42439604	22q13.2	ENSG00000100197	Brain_Spi	CYP2D6	22	42522501	42526883	22q13.2
Brain_Spi_22q13.2	ENSR00000301973	Brain_Spi	ENSR00000301973	22	42437205	42439604	22q13.2	ENSG00000198951	Brain_Spi	NAGA	22	42454338	42466846	22q13.2
Brain_Spi_22q13.2	ENSR00000301973	Brain_Spi	ENSR00000301973	22	42437205	42439604	22q13.2	ENSG00000183066	Brain_Spi	WBP2NL	22	42394729	42454460	22q13.2
Brain_Sub_6p22.1	ENSR00000320042	Brain_Sub	ENSR00000320042	6	28066379	28067378	6p22.1	ENSG00000187987	Brain_Sub	ZSCAN23	6	28399707	28411279	6p22.1
Brain_Sub_6p22.1	ENSR00000320042	Brain_Sub	ENSR00000320042	6	28066379	28067378	6p22.1	ENSG00000096654	Brain_Sub	ZNF184	6	27418522	27440897	6p22.1
