gene	tissue	Gene	CHR	START_POS	END_POS	arm	tissue_locus
ENSG00000143603	Brain_Nuc	KCNN3	1	154669931	154842757	1q21.3	Brain_Nuc_1q21.3
ENSG00000143603	Brain_Hippo	KCNN3	1	154669931	154842757	1q21.3	Brain_Hippo_1q21.3
ENSG00000143641	Brain_Cerebellum	GALNT2	1	230193737	230417868	1q42.13	Brain_Cerebellum_1q42.13
ENSG00000146463	Esophagus_muc	ZMYM4	1	35734310	35887659	1p34.3	Esophagus_muc_1p34.3
ENSG00000152061	Adipose_sub	RABGAP1L	1	174128548	174964445	1q25.1	Adipose_sub_1q25.1
ENSG00000152061	Whole_blood	RABGAP1L	1	174128548	174964445	1q25.1	Whole_blood_1q25.1
ENSG00000162753	Pituitary	SLC9C2	1	173469599	173572211	1q25.1	Pituitary_1q25.1
ENSG00000162753	Lung	SLC9C2	1	173469599	173572211	1q25.1	Lung_1q25.1
ENSG00000162753	Brain_Cau	SLC9C2	1	173469599	173572211	1q25.1	Brain_Cau_1q25.1
ENSG00000162753	Brain_Spi	SLC9C2	1	173469599	173572211	1q25.1	Brain_Spi_1q25.1
ENSG00000162753	Nerve	SLC9C2	1	173469599	173572211	1q25.1	Nerve_1q25.1
ENSG00000162753	Brain_Cortex	SLC9C2	1	173469599	173572211	1q25.1	Brain_Cortex_1q25.1
ENSG00000203721	Skin_no_sun	LINC00862	1	200222547	200369833	1q32.1	Skin_no_sun_1q32.1
ENSG00000229444	Skin_sun	AL451062.1	1	44175063	44193014	1p34.1	Skin_sun_1p34.1
ENSG00000232912	Nerve	RERE-AS1	1	8484705	8495073	1p36.23	Nerve_1p36.23
ENSG00000232912	Adipose_vis	RERE-AS1	1	8484705	8495073	1p36.23	Adipose_vis_1p36.23
ENSG00000233973	Testis	LINC01360	1	73771292	73820936	1p31.1	Testis_1p31.1
ENSG00000003509	Testis	NDUFAF7	2	37458774	37480546	2p22.2	Testis_2p22.2
ENSG00000003509	Thyroid	NDUFAF7	2	37458774	37480546	2p22.2	Thyroid_2p22.2
ENSG00000003509	Brain_Cer	NDUFAF7	2	37458774	37480546	2p22.2	Brain_Cer_2p22.2
ENSG00000003509	Brain_Cerebellum	NDUFAF7	2	37458774	37480546	2p22.2	Brain_Cerebellum_2p22.2
ENSG00000055332	Muscle_skeletal	EIF2AK2	2	37326353	37384208	2p22.2	Muscle_skeletal_2p22.2
ENSG00000055332	Prostate	EIF2AK2	2	37326353	37384208	2p22.2	Prostate_2p22.2
ENSG00000055332	Artery_tib	EIF2AK2	2	37326353	37384208	2p22.2	Artery_tib_2p22.2
ENSG00000065413	Testis	ANKRD44	2	197831741	198175897	2q33.1	Testis_2q33.1
ENSG00000065413	Adipose_sub	ANKRD44	2	197831741	198175897	2q33.1	Adipose_sub_2q33.1
ENSG00000066248	Skin_sun	NGEF	2	233743411	233877966	2q37.1	Skin_sun_2q37.1
ENSG00000066248	Adipose_vis	NGEF	2	233743411	233877966	2q37.1	Adipose_vis_2q37.1
ENSG00000066248	Colon_sigmoid	NGEF	2	233743411	233877966	2q37.1	Colon_sigmoid_2q37.1
ENSG00000066248	Esophagus_muc	NGEF	2	233743411	233877966	2q37.1	Esophagus_muc_2q37.1
ENSG00000066248	Breast	NGEF	2	233743411	233877966	2q37.1	Breast_2q37.1
ENSG00000066248	Heart_Atr	NGEF	2	233743411	233877966	2q37.1	Heart_Atr_2q37.1
ENSG00000066248	Artery_tib	NGEF	2	233743411	233877966	2q37.1	Artery_tib_2q37.1
ENSG00000084764	Adipose_vis	MAPRE3	2	27193505	27250087	2p23.3	Adipose_vis_2p23.3
ENSG00000115073	Adipose_sub	ACTR1B	2	98272402	98280507	2q11.2	Adipose_sub_2q11.2
ENSG00000115073	Cells_fibroblast	ACTR1B	2	98272402	98280507	2q11.2	Cells_fibroblast_2q11.2
ENSG00000115073	Small_intestine	ACTR1B	2	98272402	98280507	2q11.2	Small_intestine_2q11.2
ENSG00000115073	Skin_sun	ACTR1B	2	98272402	98280507	2q11.2	Skin_sun_2q11.2
ENSG00000115073	Thyroid	ACTR1B	2	98272402	98280507	2q11.2	Thyroid_2q11.2
ENSG00000115073	Brain_Cerebellum	ACTR1B	2	98272402	98280507	2q11.2	Brain_Cerebellum_2q11.2
ENSG00000115073	Uterus	ACTR1B	2	98272402	98280507	2q11.2	Uterus_2q11.2
ENSG00000115073	Spleen	ACTR1B	2	98272402	98280507	2q11.2	Spleen_2q11.2
ENSG00000115073	Colon_transverse	ACTR1B	2	98272402	98280507	2q11.2	Colon_transverse_2q11.2
ENSG00000115524	Colon_transverse	SF3B1	2	198253239	198299815	2q33.1	Colon_transverse_2q33.1
ENSG00000115524	Thyroid	SF3B1	2	198253239	198299815	2q33.1	Thyroid_2q33.1
ENSG00000115524	Testis	SF3B1	2	198253239	198299815	2q33.1	Testis_2q33.1
ENSG00000115808	Heart_Left	STRN	2	37064841	37193679	2p22.2	Heart_Left_2p22.2
ENSG00000115816	Testis	CEBPZ	2	37428755	37458739	2p22.2	Testis_2p22.2
ENSG00000115816	Lung	CEBPZ	2	37428755	37458739	2p22.2	Lung_2p22.2
ENSG00000115816	Esophagus_muc	CEBPZ	2	37428755	37458739	2p22.2	Esophagus_muc_2p22.2
ENSG00000115816	Brain_Cau	CEBPZ	2	37428755	37458739	2p22.2	Brain_Cau_2p22.2
ENSG00000115816	Cells_fibroblast	CEBPZ	2	37428755	37458739	2p22.2	Cells_fibroblast_2p22.2
ENSG00000115816	Nerve	CEBPZ	2	37428755	37458739	2p22.2	Nerve_2p22.2
ENSG00000115816	Skin_no_sun	CEBPZ	2	37428755	37458739	2p22.2	Skin_no_sun_2p22.2
ENSG00000115816	Skin_sun	CEBPZ	2	37428755	37458739	2p22.2	Skin_sun_2p22.2
ENSG00000115816	Muscle_skeletal	CEBPZ	2	37428755	37458739	2p22.2	Muscle_skeletal_2p22.2
ENSG00000115825	Artery_cor	PRKD3	2	37477645	37551951	2p22.2	Artery_cor_2p22.2
ENSG00000115825	Colon_sigmoid	PRKD3	2	37477645	37551951	2p22.2	Colon_sigmoid_2p22.2
ENSG00000115825	Thyroid	PRKD3	2	37477645	37551951	2p22.2	Thyroid_2p22.2
ENSG00000115825	Artery_aor	PRKD3	2	37477645	37551951	2p22.2	Artery_aor_2p22.2
ENSG00000115825	Artery_tib	PRKD3	2	37477645	37551951	2p22.2	Artery_tib_2p22.2
ENSG00000115825	Adipose_sub	PRKD3	2	37477645	37551951	2p22.2	Adipose_sub_2p22.2
ENSG00000115825	Nerve	PRKD3	2	37477645	37551951	2p22.2	Nerve_2p22.2
ENSG00000115825	Vagina	PRKD3	2	37477645	37551951	2p22.2	Vagina_2p22.2
ENSG00000115825	Lung	PRKD3	2	37477645	37551951	2p22.2	Lung_2p22.2
ENSG00000115825	Skin_sun	PRKD3	2	37477645	37551951	2p22.2	Skin_sun_2p22.2
ENSG00000115825	Spleen	PRKD3	2	37477645	37551951	2p22.2	Spleen_2p22.2
ENSG00000115896	Thyroid	PLCL1	2	198669317	199437305	2q33.1	Thyroid_2q33.1
ENSG00000116127	Nerve	ALMS1	2	73612886	73852293	2p13.1	Nerve_2p13.1
ENSG00000116127	Brain_Nuc	ALMS1	2	73612886	73852293	2p13.1	Brain_Nuc_2p13.1
ENSG00000124019	Adipose_sub	FAM124B	2	225243415	225266824	2q36.2	Adipose_sub_2q36.2
ENSG00000135976	Whole_blood	ANKRD36	2	97778955	97930171	2q11.2	Whole_blood_2q11.2
ENSG00000135976	Adipose_vis	ANKRD36	2	97778955	97930171	2q11.2	Adipose_vis_2q11.2
ENSG00000138028	Muscle_skeletal	CGREF1	2	27321757	27341996	2p23.3	Muscle_skeletal_2p23.3
ENSG00000138028	Pituitary	CGREF1	2	27321757	27341996	2p23.3	Pituitary_2p23.3
ENSG00000138028	Skin_sun	CGREF1	2	27321757	27341996	2p23.3	Skin_sun_2p23.3
ENSG00000138356	Lung	AOX1	2	201450737	201541787	2q33.1	Lung_2q33.1
ENSG00000144035	Colon_sigmoid	NAT8	2	73867850	73869549	2p13.1	Colon_sigmoid_2p13.1
ENSG00000144035	Pituitary	NAT8	2	73867850	73869549	2p13.1	Pituitary_2p13.1
ENSG00000144035	Adipose_sub	NAT8	2	73867850	73869549	2p13.1	Adipose_sub_2p13.1
ENSG00000144035	Nerve	NAT8	2	73867850	73869549	2p13.1	Nerve_2p13.1
ENSG00000152127	Lung	MGAT5	2	134877554	135212192	2q21.2	Lung_2q21.2
ENSG00000162971	Adipose_sub	TYW5	2	200793636	200820459	2q33.1	Adipose_sub_2q33.1
ENSG00000162972	Testis	MAIP1	2	200820040	200873263	2q33.1	Testis_2q33.1
ENSG00000170802	Heart_Atr	FOXN2	2	48541776	48606434	2p16.3	Heart_Atr_2p16.3
ENSG00000170802	Spleen	FOXN2	2	48541776	48606434	2p16.3	Spleen_2p16.3
ENSG00000170802	Skin_no_sun	FOXN2	2	48541776	48606434	2p16.3	Skin_no_sun_2p16.3
ENSG00000170802	Adipose_sub	FOXN2	2	48541776	48606434	2p16.3	Adipose_sub_2p16.3
ENSG00000170802	Adipose_vis	FOXN2	2	48541776	48606434	2p16.3	Adipose_vis_2p16.3
ENSG00000170802	Heart_Left	FOXN2	2	48541776	48606434	2p16.3	Heart_Left_2p16.3
ENSG00000170802	Cells_fibroblast	FOXN2	2	48541776	48606434	2p16.3	Cells_fibroblast_2p16.3
ENSG00000170802	Esophagus_gast	FOXN2	2	48541776	48606434	2p16.3	Esophagus_gast_2p16.3
ENSG00000170802	Adrenal	FOXN2	2	48541776	48606434	2p16.3	Adrenal_2p16.3
ENSG00000170802	Thyroid	FOXN2	2	48541776	48606434	2p16.3	Thyroid_2p16.3
ENSG00000170802	Pancreas	FOXN2	2	48541776	48606434	2p16.3	Pancreas_2p16.3
ENSG00000182600	Testis	SNORC	2	233721980	233743418	2q37.1	Testis_2q37.1
ENSG00000218739	Lung	CEBPZOS	2	37423631	37443336	2p22.2	Lung_2p22.2
ENSG00000218739	Esophagus_muc	CEBPZOS	2	37423631	37443336	2p22.2	Esophagus_muc_2p22.2
ENSG00000218739	Heart_Left	CEBPZOS	2	37423631	37443336	2p22.2	Heart_Left_2p22.2
ENSG00000225953	Colon_transverse	SATB2-AS1	2	200322423	200341658	2q33.1	Colon_transverse_2q33.1
ENSG00000226124	Colon_transverse	FTCDNL1	2	200625267	200715896	2q33.1	Colon_transverse_2q33.1
ENSG00000226124	Cells_fibroblast	FTCDNL1	2	200625267	200715896	2q33.1	Cells_fibroblast_2q33.1
ENSG00000231621	Whole_blood	AC013264.1	2	198062715	198063997	2q33.1	Whole_blood_2q33.1
ENSG00000243147	Esophagus_mus	MRPL33	2	27994584	28210954	2p23.2	Esophagus_mus_2p23.2
ENSG00000283118	Testis	AC009951.5	2	145202415	145208017	2q22.3	Testis_2q22.3
ENSG00000283994	Esophagus_gast	AC092652.3	2	144359086	144366328	2q22.3	Esophagus_gast_2q22.3
ENSG00000016864	Brain_Nuc	GLT8D1	3	52728504	52740048	3p21.1	Brain_Nuc_3p21.1
ENSG00000023330	Adipose_sub	ALAS1	3	52232102	52248343	3p21.2	Adipose_sub_3p21.2
ENSG00000055955	Pancreas	ITIH4	3	52846978	52864704	3p21.1	Pancreas_3p21.1
ENSG00000055955	Pituitary	ITIH4	3	52846978	52864704	3p21.1	Pituitary_3p21.1
ENSG00000055955	Cells_fibroblast	ITIH4	3	52846978	52864704	3p21.1	Cells_fibroblast_3p21.1
ENSG00000055955	Skin_no_sun	ITIH4	3	52846978	52864704	3p21.1	Skin_no_sun_3p21.1
ENSG00000055955	Brain_Amy	ITIH4	3	52846978	52864704	3p21.1	Brain_Amy_3p21.1
ENSG00000055957	Nerve	ITIH1	3	52811611	52826084	3p21.1	Nerve_3p21.1
ENSG00000114054	Thyroid	PCCB	3	135969182	136056738	3q22.3	Thyroid_3q22.3
ENSG00000114054	Testis	PCCB	3	135969182	136056738	3q22.3	Testis_3q22.3
ENSG00000114054	Artery_aor	PCCB	3	135969182	136056738	3q22.3	Artery_aor_3q22.3
ENSG00000114054	Colon_transverse	PCCB	3	135969182	136056738	3q22.3	Colon_transverse_3q22.3
ENSG00000114054	Pituitary	PCCB	3	135969182	136056738	3q22.3	Pituitary_3q22.3
ENSG00000114054	Cells_fibroblast	PCCB	3	135969182	136056738	3q22.3	Cells_fibroblast_3q22.3
ENSG00000114054	Brain_Cau	PCCB	3	135969182	136056738	3q22.3	Brain_Cau_3q22.3
ENSG00000114054	Esophagus_muc	PCCB	3	135969182	136056738	3q22.3	Esophagus_muc_3q22.3
ENSG00000114054	Lung	PCCB	3	135969182	136056738	3q22.3	Lung_3q22.3
ENSG00000114054	Esophagus_mus	PCCB	3	135969182	136056738	3q22.3	Esophagus_mus_3q22.3
ENSG00000114054	Muscle_skeletal	PCCB	3	135969182	136056738	3q22.3	Muscle_skeletal_3q22.3
ENSG00000114054	Pancreas	PCCB	3	135969182	136056738	3q22.3	Pancreas_3q22.3
ENSG00000114054	Stomach	PCCB	3	135969182	136056738	3q22.3	Stomach_3q22.3
ENSG00000114054	Artery_tib	PCCB	3	135969182	136056738	3q22.3	Artery_tib_3q22.3
ENSG00000114054	Brain_Put	PCCB	3	135969182	136056738	3q22.3	Brain_Put_3q22.3
ENSG00000114054	Adipose_sub	PCCB	3	135969182	136056738	3q22.3	Adipose_sub_3q22.3
ENSG00000114735	Brain_Put	HEMK1	3	50606583	50633599	3p21.2	Brain_Put_3p21.2
ENSG00000114779	Cells_fibroblast	ABHD14B	3	52002526	52017425	3p21.2	Cells_fibroblast_3p21.2
ENSG00000114841	Liver	DNAH1	3	52350335	52434507	3p21.1	Liver_3p21.1
ENSG00000114854	Brain_Cerebellum	TNNC1	3	52485116	52488057	3p21.1	Brain_Cerebellum_3p21.1
ENSG00000114902	Brain_Fro	SPCS1	3	52738971	52745164	3p21.1	Brain_Fro_3p21.1
ENSG00000114904	Colon_sigmoid	NEK4	3	52742460	52804962	3p21.1	Colon_sigmoid_3p21.1
ENSG00000114904	Pancreas	NEK4	3	52742460	52804962	3p21.1	Pancreas_3p21.1
ENSG00000114904	Esophagus_mus	NEK4	3	52742460	52804962	3p21.1	Esophagus_mus_3p21.1
ENSG00000114904	Lung	NEK4	3	52742460	52804962	3p21.1	Lung_3p21.1
ENSG00000114904	Skin_sun	NEK4	3	52742460	52804962	3p21.1	Skin_sun_3p21.1
ENSG00000114904	Cells_fibroblast	NEK4	3	52742460	52804962	3p21.1	Cells_fibroblast_3p21.1
ENSG00000114904	Brain_Cerebellum	NEK4	3	52742460	52804962	3p21.1	Brain_Cerebellum_3p21.1
ENSG00000114904	Esophagus_muc	NEK4	3	52742460	52804962	3p21.1	Esophagus_muc_3p21.1
ENSG00000114904	Heart_Atr	NEK4	3	52742460	52804962	3p21.1	Heart_Atr_3p21.1
ENSG00000114904	Nerve	NEK4	3	52742460	52804962	3p21.1	Nerve_3p21.1
ENSG00000114904	Brain_Cortex	NEK4	3	52742460	52804962	3p21.1	Brain_Cortex_3p21.1
ENSG00000144677	Breast	CTDSPL	3	37903371	38025960	3p22.2	Breast_3p22.2
ENSG00000145075	Nerve	CCDC39	3	180331796	180588721	3q26.33	Nerve_3q26.33
ENSG00000157150	Brain_Nuc	TIMP4	3	12194568	12200412	3p25.2	Brain_Nuc_3p25.2
ENSG00000162244	Brain_Hippo	RPL29	3	52027538	52029911	3p21.2	Brain_Hippo_3p21.2
ENSG00000163634	Brain_Ant	THOC7	3	63819546	63849544	3p14.1	Brain_Ant_3p14.1
ENSG00000163673	Skin_no_sun	DCLK3	3	36753913	36805840	3p22.2	Skin_no_sun_3p22.2
ENSG00000163931	Esophagus_muc	TKT	3	53258728	53290068	3p21.1	Esophagus_muc_3p21.1
ENSG00000163938	Colon_transverse	GNL3	3	52715172	52728513	3p21.1	Colon_transverse_3p21.1
ENSG00000163938	Pancreas	GNL3	3	52715172	52728513	3p21.1	Pancreas_3p21.1
ENSG00000163938	Cells_fibroblast	GNL3	3	52715172	52728513	3p21.1	Cells_fibroblast_3p21.1
ENSG00000163938	Lung	GNL3	3	52715172	52728513	3p21.1	Lung_3p21.1
ENSG00000163938	Artery_cor	GNL3	3	52715172	52728513	3p21.1	Artery_cor_3p21.1
ENSG00000163938	Nerve	GNL3	3	52715172	52728513	3p21.1	Nerve_3p21.1
ENSG00000163938	Brain_Cau	GNL3	3	52715172	52728513	3p21.1	Brain_Cau_3p21.1
ENSG00000163938	Brain_Cerebellum	GNL3	3	52715172	52728513	3p21.1	Brain_Cerebellum_3p21.1
ENSG00000163938	Heart_Atr	GNL3	3	52715172	52728513	3p21.1	Heart_Atr_3p21.1
ENSG00000163938	Brain_Put	GNL3	3	52715172	52728513	3p21.1	Brain_Put_3p21.1
ENSG00000163938	Adipose_vis	GNL3	3	52715172	52728513	3p21.1	Adipose_vis_3p21.1
ENSG00000163938	Colon_sigmoid	GNL3	3	52715172	52728513	3p21.1	Colon_sigmoid_3p21.1
ENSG00000163938	Brain_Fro	GNL3	3	52715172	52728513	3p21.1	Brain_Fro_3p21.1
ENSG00000164048	Spleen	ZNF589	3	48282590	48340743	3p21.31	Spleen_3p21.31
ENSG00000164078	Brain_Cerebellum	MST1R	3	49924435	49941306	3p21.31	Brain_Cerebellum_3p21.31
ENSG00000164078	Brain_Cer	MST1R	3	49924435	49941306	3p21.31	Brain_Cer_3p21.31
ENSG00000164078	Brain_Nuc	MST1R	3	49924435	49941306	3p21.31	Brain_Nuc_3p21.31
ENSG00000164088	Brain_Sub	PPM1M	3	52279775	52284615	3p21.2	Brain_Sub_3p21.2
ENSG00000164088	Brain_Cer	PPM1M	3	52279775	52284615	3p21.2	Brain_Cer_3p21.2
ENSG00000168237	Thyroid	GLYCTK	3	52321105	52329273	3p21.1	Thyroid_3p21.1
ENSG00000168237	Testis	GLYCTK	3	52321105	52329273	3p21.1	Testis_3p21.1
ENSG00000168237	Lung	GLYCTK	3	52321105	52329273	3p21.1	Lung_3p21.1
ENSG00000168237	Pituitary	GLYCTK	3	52321105	52329273	3p21.1	Pituitary_3p21.1
ENSG00000168237	Esophagus_muc	GLYCTK	3	52321105	52329273	3p21.1	Esophagus_muc_3p21.1
ENSG00000168237	Brain_Fro	GLYCTK	3	52321105	52329273	3p21.1	Brain_Fro_3p21.1
ENSG00000168237	Skin_sun	GLYCTK	3	52321105	52329273	3p21.1	Skin_sun_3p21.1
ENSG00000168237	Spleen	GLYCTK	3	52321105	52329273	3p21.1	Spleen_3p21.1
ENSG00000168237	Adrenal	GLYCTK	3	52321105	52329273	3p21.1	Adrenal_3p21.1
ENSG00000168237	Brain_Cortex	GLYCTK	3	52321105	52329273	3p21.1	Brain_Cortex_3p21.1
ENSG00000168237	Pancreas	GLYCTK	3	52321105	52329273	3p21.1	Pancreas_3p21.1
ENSG00000168237	Brain_Cer	GLYCTK	3	52321105	52329273	3p21.1	Brain_Cer_3p21.1
ENSG00000168237	Artery_tib	GLYCTK	3	52321105	52329273	3p21.1	Artery_tib_3p21.1
ENSG00000168237	Brain_Cerebellum	GLYCTK	3	52321105	52329273	3p21.1	Brain_Cerebellum_3p21.1
ENSG00000168237	Whole_blood	GLYCTK	3	52321105	52329273	3p21.1	Whole_blood_3p21.1
ENSG00000168237	Skin_no_sun	GLYCTK	3	52321105	52329273	3p21.1	Skin_no_sun_3p21.1
ENSG00000168268	Adipose_vis	NT5DC2	3	52558401	52569070	3p21.1	Adipose_vis_3p21.1
ENSG00000168268	Artery_aor	NT5DC2	3	52558401	52569070	3p21.1	Artery_aor_3p21.1
ENSG00000168268	Small_intestine	NT5DC2	3	52558401	52569070	3p21.1	Small_intestine_3p21.1
ENSG00000168268	Heart_Left	NT5DC2	3	52558401	52569070	3p21.1	Heart_Left_3p21.1
ENSG00000168268	Spleen	NT5DC2	3	52558401	52569070	3p21.1	Spleen_3p21.1
ENSG00000168268	Lung	NT5DC2	3	52558401	52569070	3p21.1	Lung_3p21.1
ENSG00000168273	Heart_Left	SMIM4	3	52568029	52613253	3p21.1	Heart_Left_3p21.1
ENSG00000172113	Esophagus_muc	NME6	3	48332212	48343175	3p21.31	Esophagus_muc_3p21.31
ENSG00000177479	Testis	ARIH2	3	48956254	49023815	3p21.31	Testis_3p21.31
ENSG00000178252	Artery_cor	WDR6	3	49044495	49053386	3p21.31	Artery_cor_3p21.31
ENSG00000196542	Colon_transverse	SPTSSB	3	161062580	161090668	3q26.1	Colon_transverse_3q26.1
ENSG00000213533	Lung	STIMATE	3	52870235	52931564	3p21.1	Lung_3p21.1
ENSG00000213533	Muscle_skeletal	STIMATE	3	52870235	52931564	3p21.1	Muscle_skeletal_3p21.1
ENSG00000213533	Cells_fibroblast	STIMATE	3	52870235	52931564	3p21.1	Cells_fibroblast_3p21.1
ENSG00000213533	Adipose_vis	STIMATE	3	52870235	52931564	3p21.1	Adipose_vis_3p21.1
ENSG00000214706	Muscle_skeletal	IFRD2	3	50325163	50330349	3p21.31	Muscle_skeletal_3p21.31
ENSG00000224424	Brain_Cer	PRKAR2A-AS1	3	48885005	48889414	3p21.31	Brain_Cer_3p21.31
ENSG00000239213	Brain_Cer	NCK1-DT	3	136554187	136581460	3q22.3	Brain_Cer_3q22.3
ENSG00000243224	Nerve	AC006252.1	3	52273274	52275113	3p21.2	Nerve_3p21.2
ENSG00000243224	Esophagus_gast	AC006252.1	3	52273274	52275113	3p21.2	Esophagus_gast_3p21.2
ENSG00000243224	Brain_Ant	AC006252.1	3	52273274	52275113	3p21.2	Brain_Ant_3p21.2
ENSG00000243224	Adipose_sub	AC006252.1	3	52273274	52275113	3p21.2	Adipose_sub_3p21.2
ENSG00000243224	Skin_no_sun	AC006252.1	3	52273274	52275113	3p21.2	Skin_no_sun_3p21.2
ENSG00000261758	Brain_Hypo	AC117382.2	3	136471472	136474622	3q22.3	Brain_Hypo_3q22.3
ENSG00000261758	Brain_Spi	AC117382.2	3	136471472	136474622	3q22.3	Brain_Spi_3q22.3
ENSG00000261758	Brain_Cortex	AC117382.2	3	136471472	136474622	3q22.3	Brain_Cortex_3q22.3
ENSG00000261758	Brain_Amy	AC117382.2	3	136471472	136474622	3q22.3	Brain_Amy_3q22.3
ENSG00000261758	Brain_Fro	AC117382.2	3	136471472	136474622	3q22.3	Brain_Fro_3q22.3
ENSG00000261758	Testis	AC117382.2	3	136471472	136474622	3q22.3	Testis_3q22.3
ENSG00000272573	Artery_aor	MUSTN1	3	52867130	52869035	3p21.1	Artery_aor_3p21.1
ENSG00000109332	Heart_Atr	UBE2D3	4	103715540	103790053	4q24	Heart_Atr_4q24
ENSG00000109332	Cells_fibroblast	UBE2D3	4	103715540	103790053	4q24	Cells_fibroblast_4q24
ENSG00000109572	Colon_transverse	CLCN3	4	170533784	170644824	4q33	Colon_transverse_4q33
ENSG00000109572	Muscle_skeletal	CLCN3	4	170533784	170644824	4q33	Muscle_skeletal_4q33
ENSG00000109572	Brain_Hypo	CLCN3	4	170533784	170644824	4q33	Brain_Hypo_4q33
ENSG00000145354	Colon_sigmoid	CISD2	4	103790131	103813964	4q24	Colon_sigmoid_4q24
ENSG00000145354	Skin_no_sun	CISD2	4	103790131	103813964	4q24	Skin_no_sun_4q24
ENSG00000145354	Adipose_vis	CISD2	4	103790131	103813964	4q24	Adipose_vis_4q24
ENSG00000246560	Cells_ebv	UBE2D3-AS1	4	103749212	103765232	4q24	Cells_ebv_4q24
ENSG00000246560	Thyroid	UBE2D3-AS1	4	103749212	103765232	4q24	Thyroid_4q24
ENSG00000246560	Lung	UBE2D3-AS1	4	103749212	103765232	4q24	Lung_4q24
ENSG00000246560	Esophagus_mus	UBE2D3-AS1	4	103749212	103765232	4q24	Esophagus_mus_4q24
ENSG00000249106	Brain_Nuc	AC097537.1	4	176711458	176733340	4q34.2	Brain_Nuc_4q34.2
ENSG00000249106	Brain_Put	AC097537.1	4	176711458	176733340	4q34.2	Brain_Put_4q34.2
ENSG00000249106	Brain_Cer	AC097537.1	4	176711458	176733340	4q34.2	Brain_Cer_4q34.2
ENSG00000249106	Brain_Amy	AC097537.1	4	176711458	176733340	4q34.2	Brain_Amy_4q34.2
ENSG00000249106	Brain_Fro	AC097537.1	4	176711458	176733340	4q34.2	Brain_Fro_4q34.2
ENSG00000249106	Brain_Cortex	AC097537.1	4	176711458	176733340	4q34.2	Brain_Cortex_4q34.2
ENSG00000249106	Colon_sigmoid	AC097537.1	4	176711458	176733340	4q34.2	Colon_sigmoid_4q34.2
ENSG00000249106	Brain_Spi	AC097537.1	4	176711458	176733340	4q34.2	Brain_Spi_4q34.2
ENSG00000249106	Brain_Hypo	AC097537.1	4	176711458	176733340	4q34.2	Brain_Hypo_4q34.2
ENSG00000037749	Kidney	MFAP3	5	153418466	153600038	5q33.2	Kidney_5q33.2
ENSG00000044115	Small_intestine	CTNNA1	5	137946656	138270723	5q31.2	Small_intestine_5q31.2
ENSG00000112996	Breast	MRPS30	5	44809049	44820530	5p12	Breast_5p12
ENSG00000113108	Ovary	APBB3	5	139937853	139944366	5q31.3	Ovary_5q31.3
ENSG00000113119	Esophagus_muc	TMCO6	5	140019012	140024993	5q31.3	Esophagus_muc_5q31.3
