gene_name gene zscore effect_size pvalue var_g pred_perf_r2 pred_perf_pval pred_perf_qval n_snps_used n_snps_in_cov n_snps_in_model tissue ENSG CHR START_POS END_POS arm_vector
ENSR00000032823 ENSR00000032823 -7.58393240787697 -0.122936708829332 3.35235851561872e-14 0.101026711927286 0.19039000855904 4.55277143528197e-06 1.74752068976711e-05 35 42 42 Brain_Cer ENSR00000032823 10 104669713 104670164 10q24.32
FBXW4 ENSG00000107829 4.78360176966498 0.160701121574451 1.72181651360208e-06 0.0265215512705552 0.0437569261780711 0.00342043228045285 0.0159325154763365 10 11 11 Brain_Caudate_basal_ganglia ENSG00000107829 10 103370421 103455052 10q24.32
FGF8 ENSG00000107831 7.07160315251512 0.162603480112756 1.53153891143977e-12 0.0448408333603769 0.040531946506598 0.022146877192711 0.143493599577631 16 16 16 Brain_Amygdala ENSG00000107831 10 103529887 103540126 10q24.32
NT5C2 ENSG00000076685 7.89202770753522 1.08747192653324 2.97315695886567e-15 0.00109953748539026 0.0322353113904128 0.0210264879143597 0.108501064684755 3 5 5 Brain_Hippocampus ENSG00000076685 10 104847774 104953063 10q24.32
PPRC1 ENSG00000148840 6.21749120084037 0.182753303753898 5.05166478966522e-10 0.0291532755028648 0.045375919434228 0.00216542992032976 0.00947257238717032 12 13 13 Brain_Cortex ENSG00000148840 10 103892751 103910090 10q24.32
PSD ENSG00000059915 -5.00232115333537 -0.121720027265277 5.66441237877672e-07 0.0424011988697011 0.0689610874359891 0.000122386777463318 0.000510638212230672 12 15 15 Brain_Cerebellum ENSG00000059915 10 104162374 104181296 10q24.32
SFXN2 ENSG00000156398 -4.56615257125725 -0.0580925152502396 4.96757272733205e-06 0.139488903903193 0.0514339857110778 0.002543790770309 0.0136611713337778 44 46 46 Brain_Frontal_Cortex_BA9 ENSG00000156398 10 104474295 104503249 10q24.32
SUFU ENSG00000107882 -6.49461898562025 -0.295964483206382 8.32438164971889e-11 0.0130555503678017 0.0229582632054506 0.0485634493399539 0.178191717204206 5 5 5 Brain_Putamen_basal_ganglia ENSG00000107882 10 104263744 104393292 10q24.32
TRIM8 ENSG00000171206 -5.15157902385768 -0.110050155214426 2.58302340371102e-07 0.0601474524049368 0.0651544976833529 0.000246139139848964 0.00152572748647053 20 22 22 Brain_Nucleus_accumbens_basal_ganglia ENSG00000171206 10 104402067 104420437 10q24.32
INA ENSG00000148798 4.58820859210711 0.164583128178586 4.47065815171387e-06 0.0208887978396857 0.0801959032871506 0.000146208669607394 0.00104397593521173 3 3 3 Brain_Frontal_Cortex_BA9 ENSG00000148798 10 105036895 105050103 10q24.33
INA ENSG00000148798 4.91264912726461 0.194299783297758 8.98539923560427e-07 0.0174238857958598 0.0245117249217536 0.041464864764905 0.156092623789755 8 8 8 Brain_Putamen_basal_ganglia ENSG00000148798 10 105036895 105050103 10q24.33
PDCD11 ENSG00000148843 -4.76929403552002 -0.175932896904425 1.84872651985144e-06 0.0186123989856364 0.027828655674314 0.0273503559003333 0.0843763357710045 7 7 7 Brain_Cerebellar_Hemisphere ENSG00000148843 10 105156383 105206051 10q24.33
PDCD11 ENSG00000148843 -5.24575853144534 -0.303982051361926 1.55640639167228e-07 0.00800424195309012 0.022484909394693 0.0368995259566201 0.12763556419184 5 5 5 Brain_Caudate_basal_ganglia ENSG00000148843 10 105156383 105206051 10q24.33
ITPRIP-AS1 ENSG00000228261 -4.59148077577393 -0.124425838440515 4.40112187410252e-06 0.0410064491102629 0.0730662496945739 0.000929000498706944 0.00751147707919337 13 14 14 Brain_Anterior_cingulate_cortex_BA24 ENSG00000228261 10 106083127 106086762 10q25.1
ACP2 ENSG00000134575 5.19668863302437 0.0950082574778875 2.02869735026781e-07 0.105431905767413 0.0875081364791068 2.81735945885336e-05 0.000201135385366755 30 30 30 Brain_Caudate_basal_ganglia ENSG00000134575 11 47260853 47270457 11p11.2
ATG13 ENSG00000175224 7.74788201735186 0.252782744330422 9.34378927617772e-15 0.0284307888189175 0.0223732054488548 0.0306480526380052 0.0821101816112784 12 14 14 Brain_Cerebellum ENSG00000175224 11 46639077 46696368 11p11.2
LINC02696 ENSG00000254427 4.96975215139946 0.0568763624686489 6.70385387159001e-07 0.212995481968474 0.3809840804813 6.47979361019653e-23 2.75954467720313e-21 9 10 10 Brain_Cortex ENSG00000254427 11 45376922 45389041 11p11.2
LINC02696 ENSG00000254427 5.05251160075709 0.0622292616699449 4.36037864078598e-07 0.181885323793875 0.382279399706668 2.62995512352097e-19 1.6799458623925e-17 5 5 5 Brain_Putamen_basal_ganglia ENSG00000254427 11 45376922 45389041 11p11.2
LINC02696 ENSG00000254427 4.91701969430065 0.0480725850916439 8.78717144192642e-07 0.289526909595357 0.439535281941477 1.13843636769642e-17 1.85574163143783e-15 9 9 9 Brain_Amygdala ENSG00000254427 11 45376922 45389041 11p11.2
LINC02696 ENSG00000254427 4.9437726665007 0.0528838148504267 7.66250517968905e-07 0.242396591934614 0.320207613935525 2.37526293307801e-15 1.3631515865938e-13 17 18 18 Brain_Hippocampus ENSG00000254427 11 45376922 45389041 11p11.2
LINC02696 ENSG00000254427 4.72122560242533 0.047373657319353 2.3442773771038e-06 0.272789180250366 0.465505818190652 6.39372310699862e-28 7.06421830266377e-26 15 17 17 Brain_Caudate_basal_ganglia ENSG00000254427 11 45376922 45389041 11p11.2
LINC02696 ENSG00000254427 4.95004765715161 0.0609841453151414 7.41953111023339e-07 0.180028839086256 0.359254009943963 1.21683374813886e-13 7.28008271092817e-12 16 18 18 Brain_Spinal_cord_cervical_c-1 ENSG00000254427 11 45376922 45389041 11p11.2
MDK ENSG00000110492 4.81453283021852 0.131385351668721 1.47544646973945e-06 0.0396366615421876 0.0216583977071053 0.035228797070611 0.113283595420046 17 17 17 Brain_Cortex ENSG00000110492 11 46402306 46405387 11p11.2
MTCH2 ENSG00000109919 4.52650934997169 0.111988497039324 5.99659473756862e-06 0.0459254193471663 0.0583936861005316 0.00959300736842385 0.0763723810175797 8 9 9 Brain_Substantia_nigra ENSG00000109919 11 47638867 47664159 11p11.2
PACSIN3 ENSG00000165912 -4.84280490307 -0.167717421401467 1.28018973682925e-06 0.0271117352526958 0.0546984983011832 0.000737981876093107 0.00356264186906755 13 15 15 Brain_Cortex ENSG00000165912 11 47199073 47207994 11p11.2
PACSIN3 ENSG00000165912 -6.41002802542317 -0.216123890744988 1.45492888798773e-10 0.0287384767944792 0.0565811643112161 0.000652448617791557 0.00372479177502796 4 4 4 Brain_Nucleus_accumbens_basal_ganglia ENSG00000165912 11 47199073 47207994 11p11.2
SLC43A1 ENSG00000149150 4.95316708686932 0.0622191835287419 7.30152265777189e-07 0.194693533005323 0.317955300567198 6.13093188219243e-19 1.15317554784141e-17 39 40 40 Brain_Cerebellum ENSG00000149150 11 57252007 57283253 11q12.1
PLAAT2 ENSG00000133328 6.59885024245299 0.180570633754447 4.14358601944759e-11 0.0405410949007413 0.0391412905655197 0.00446210179505298 0.0182722502803076 12 14 14 Brain_Cortex ENSG00000133328 11 63320242 63330851 11q12.3
PLAAT2 ENSG00000133328 4.73877143797543 0.10951124358271 2.15017864188472e-06 0.063121623016979 0.0442591349123707 0.00589348020285732 0.037270951655246 25 27 27 Brain_Hypothalamus ENSG00000133328 11 63320242 63330851 11q12.3
MAP3K11 ENSG00000173327 5.45335919246941 0.190694871818443 4.94270868421159e-08 0.0232841761987897 0.032445613703347 0.0170643092703196 0.0723343658301399 7 7 7 Brain_Frontal_Cortex_BA9 ENSG00000173327 11 65365227 65382853 11q13.1
MAP3K11 ENSG00000173327 4.83234772097908 0.116296265200434 1.34932313958828e-06 0.0465490113375101 0.122784852919234 1.97961712783452e-07 1.20098679567556e-06 4 4 4 Brain_Cerebellum ENSG00000173327 11 65365227 65382853 11q13.1
RNASEH2C ENSG00000172922 4.96522426249891 0.117227676661512 6.86217268154761e-07 0.0531492694560825 0.210263208583137 4.71097789240749e-12 7.07995568010703e-11 8 10 10 Brain_Cortex ENSG00000172922 11 65481476 65488418 11q13.1
RNASEH2C ENSG00000172922 5.57295434975163 0.283244026317288 2.50455216790459e-08 0.0122827377362068 0.108714504553057 1.52754517854321e-05 0.000185150239697988 5 7 7 Brain_Hippocampus ENSG00000172922 11 65481476 65488418 11q13.1
VEGFB ENSG00000173511 -4.69355854080527 -0.124453068684968 2.68493110334238e-06 0.0396174943847871 0.0714518396136978 0.000348806904719003 0.001621463855397 12 14 14 Brain_Cerebellar_Hemisphere ENSG00000173511 11 64002010 64006265 11q13.1
CARD16 ENSG00000204397 -4.62323832702544 -0.0708582308182908 3.77795237333386e-06 0.116536930680357 0.0800196961470734 3.32376672605313e-05 0.000150299843486819 37 37 37 Brain_Cerebellum ENSG00000204397 11 104912053 104972158 11q22.3
CARD16 ENSG00000204397 -4.6599007676392 -0.0979948086997554 3.16361863194845e-06 0.0652322103513628 0.124795086852621 1.62456275118898e-06 1.10266267049308e-05 12 12 12 Brain_Cerebellar_Hemisphere ENSG00000204397 11 104912053 104972158 11q22.3
LINC02552 ENSG00000256422 -4.75743204871026 -0.138694960634917 1.96071225838239e-06 0.0353266518011569 0.0448790864353352 0.00207492502584944 0.00708552972467961 8 8 8 Brain_Cerebellum ENSG00000256422 11 104316596 104480226 11q22.3
ANKK1 ENSG00000170209 5.31592640785325 0.0853148514375726 1.06116034164196e-07 0.124920838153801 0.20108669577739 4.86920136314509e-10 5.29957175263913e-09 15 17 17 Brain_Cerebellar_Hemisphere ENSG00000170209 11 113258501 113271138 11q23.2
ANKK1 ENSG00000170209 5.60042335857647 0.064494573756567 2.13828932159763e-08 0.245743742772746 0.299564811097141 4.59991229584746e-15 1.48334729738117e-13 27 28 28 Brain_Frontal_Cortex_BA9 ENSG00000170209 11 113258501 113271138 11q23.2
ANKK1 ENSG00000170209 4.53728560270815 0.0720564884574556 5.69829128504907e-06 0.129861094900088 0.220343664848303 7.53000095436856e-13 7.91102352518271e-12 8 9 9 Brain_Cerebellum ENSG00000170209 11 113258501 113271138 11q23.2
ANKK1 ENSG00000170209 4.85141385416995 0.0844260151120152 1.22584452600789e-06 0.109294480247011 0.239709673661456 9.34867994303593e-14 1.65076144158149e-12 9 11 11 Brain_Cortex ENSG00000170209 11 113258501 113271138 11q23.2
DRD2 ENSG00000149295 4.80881075323346 0.146832623346418 1.51830859433771e-06 0.0328238805888174 0.0556245658179666 0.00167757429042118 0.00685058612043293 16 17 17 Brain_Cerebellar_Hemisphere ENSG00000149295 11 113280327 113346413 11q23.2
ENSR00000046367 ENSR00000046367 -5.03209383046723 -0.556039284572652 4.85151695845777e-07 0.00222242780696503 0.139506455691489 0.000110344185345858 0.000291209090649595 13 18 18 Brain_Cer ENSR00000046367 11 123414508 123414909 11q24.1
VSIG2 ENSG00000019102 5.03876855892718 0.13251251984788 4.68536639685481e-07 0.0402839457924109 0.103845041899133 1.36758756326767e-05 0.000117517903294961 4 4 4 Brain_Frontal_Cortex_BA9 ENSG00000019102 11 124617370 124622151 11q24.2
VSIG2 ENSG00000019102 4.82661772187093 0.204312975058767 1.38871319728823e-06 0.0160188077307946 0.0381284111621857 0.00535487902635255 0.024497664831286 8 8 8 Brain_Nucleus_accumbens_basal_ganglia ENSG00000019102 11 124617370 124622151 11q24.2
AP003486.1 ENSG00000255455 -5.01268646619883 -0.206193177991397 5.36753184969036e-07 0.0165957891453403 0.0642738039630578 0.00194607155032169 0.0143760653176691 3 3 3 Brain_Anterior_cingulate_cortex_BA24 ENSG00000255455 11 130736149 130740142 11q24.3
AP003486.1 ENSG00000255455 -4.69899000030597 -0.111168336892053 2.61451253690149e-06 0.0498740451406078 0.125253789211687 4.79411243459788e-05 0.000612613633013486 9 9 9 Brain_Spinal_cord_cervical_c-1 ENSG00000255455 11 130736149 130740142 11q24.3
AP003486.1 ENSG00000255455 -4.79332399964561 -0.0718235886448332 1.64040373993251e-06 0.123303224511634 0.162635814416403 7.84250352009656e-08 1.44945618920222e-06 17 17 17 Brain_Hippocampus ENSG00000255455 11 130736149 130740142 11q24.3
SNX19 ENSG00000120451 -5.28577274366035 -0.0618686341441023 1.25175215252154e-07 0.209683400231722 0.388659205164137 6.36610578080482e-15 4.71362725897889e-13 16 16 16 Brain_Spinal_cord_cervical_c-1 ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -5.05643594461621 -0.0473701176816582 4.2716425530287e-07 0.321168245559527 0.479180390823702 5.23669754918661e-29 6.39489580246286e-27 27 28 28 Brain_Caudate_basal_ganglia ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -5.8094373961444 -0.0502899741230051 6.26831276995336e-09 0.382706637007243 0.518137123004892 7.15358748568534e-22 2.33218306934113e-19 32 32 32 Brain_Amygdala ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -5.22517198201559 -0.0558524249806836 1.73993311804218e-07 0.245429631334323 0.438579400912755 8.02831264961225e-23 1.09961985516947e-20 11 11 11 Brain_Hypothalamus ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -5.36368720374923 -0.0525146345206462 8.15400589775996e-08 0.296889316411142 0.491541340039029 1.2152363744357e-31 1.36437902038917e-29 9 9 9 Brain_Cortex ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -4.95793268381875 -0.0538588527471431 7.12472391052178e-07 0.238083548000406 0.440705987990068 4.89933691080339e-27 4.55943180334721e-25 6 6 6 Brain_Nucleus_accumbens_basal_ganglia ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -5.08208716262266 -0.0433500251046292 3.73310027953539e-07 0.3953679870499 0.360071420944423 1.69889002962673e-18 8.70900284474991e-17 84 85 85 Brain_Frontal_Cortex_BA9 ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -4.71001377925895 -0.0372504680477285 2.47700044520544e-06 0.445728928962426 0.470897804229958 5.32934813523694e-25 7.62742858506874e-23 64 66 66 Brain_Putamen_basal_ganglia ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -5.33298714524058 -0.0576096995602537 9.66101532068733e-08 0.247602930472131 0.412193885086794 1.50152252064186e-20 1.66813531370774e-18 15 15 15 Brain_Hippocampus ENSG00000120451 11 130745331 130786404 11q24.3
SNX19 ENSG00000120451 -5.54085976168246 -0.0538960637832956 3.00990193454172e-08 0.302330853811472 0.497769353007201 1.88219064502859e-18 6.55512769051652e-16 35 37 37 Brain_Substantia_nigra ENSG00000120451 11 130745331 130786404 11q24.3
B3GAT1 ENSG00000109956 6.04194515542639 0.218363520568034 1.52267228912159e-09 0.0233534215443503 0.0325232195861382 0.0118592217208711 0.0477274252431792 9 9 9 Brain_Caudate_basal_ganglia ENSG00000109956 11 134248398 134282136 11q25
IGSF9B ENSG00000080854 7.25192320352882 0.120105646547594 4.10894857939695e-13 0.11508188243496 0.237802099398324 6.9648174109451e-14 8.0284723928143e-13 21 21 21 Brain_Cerebellum ENSG00000080854 11 133766333 133826880 11q25
VPS26B ENSG00000151502 -5.03078637025532 -0.380422629295802 4.88472186904698e-07 0.00468864615303114 0.02271759406741 0.0464825117928239 0.169221972787555 2 2 2 Brain_Frontal_Cortex_BA9 ENSG00000151502 11 134094565 134117682 11q25
TMTC1 ENSG00000133687 -5.61321440657038 -0.205347693421875 1.98602264582062e-08 0.0212340006104282 0.0855977762604605 1.71788066059002e-05 8.08520918081728e-05 4 4 4 Brain_Cerebellum ENSG00000133687 12 29653773 29937692 12p11.22
MLF2 ENSG00000089693 4.66067918028563 0.178734578907249 3.15167653273364e-06 0.0196924614029696 0.027917461782367 0.0156035614443276 0.044739019024434 6 9 9 Brain_Cerebellum ENSG00000089693 12 6857162 6876641 12p13.31
CACNA1C ENSG00000151067 7.38136561893201 0.0866197790076115 1.56674100619651e-13 0.218852243015441 0.506471063381759 2.50707848577772e-28 2.6962135259483e-26 22 25 25 Brain_Cerebellar_Hemisphere ENSG00000151067 12 2079952 2807116 12p13.33
CACNA1C ENSG00000151067 5.63666360981673 0.0734959617763785 1.73376313539135e-08 0.176236038514817 0.413287656269391 9.2132537775335e-26 3.22325683407009e-24 22 26 26 Brain_Cerebellum ENSG00000151067 12 2079952 2807116 12p13.33
AC074032.1 ENSG00000272368 -4.71561399968748 -0.080235553235315 2.40982918347052e-06 0.105303508768087 0.169735388534987 1.47311078466718e-08 2.04083555187888e-07 13 14 14 Brain_Frontal_Cortex_BA9 ENSG00000272368 12 50505980 50559401 12q13.12
AC074032.1 ENSG00000272368 -4.56736891148 -0.0519454898433297 4.93884349571387e-06 0.244660746757267 0.160247237171103 6.34555331047229e-08 8.61612462537591e-07 32 33 33 Brain_Putamen_basal_ganglia ENSG00000272368 12 50505980 50559401 12q13.12
AC074032.1 ENSG00000272368 -4.66017034919853 -0.0733252876100279 3.15947791369992e-06 0.126856320365713 0.273447008139121 4.57932392776113e-16 6.47739815145781e-15 6 7 7 Brain_Cerebellum ENSG00000272368 12 50505980 50559401 12q13.12
AC074032.1 ENSG00000272368 -4.85364407747401 -0.0950871764748698 1.2121320385243e-06 0.083487210032408 0.154712359559631 1.72951862641571e-07 3.02957415377626e-06 12 13 13 Brain_Hippocampus ENSG00000272368 12 50505980 50559401 12q13.12
AC074032.1 ENSG00000272368 -4.73444746085446 -0.151191853094419 2.19652658781912e-06 0.0312975311875497 0.141513243571749 2.65709795635448e-06 3.84879430360961e-05 12 13 13 Brain_Anterior_cingulate_cortex_BA24 ENSG00000272368 12 50505980 50559401 12q13.12
AC074032.1 ENSG00000272368 -4.66693876399018 -0.0998129433338441 3.05720394637106e-06 0.0696933629063356 0.141329392131373 4.3713214200923e-07 7.04655685258615e-06 8 9 9 Brain_Hypothalamus ENSG00000272368 12 50505980 50559401 12q13.12
ASIC1 ENSG00000110881 -4.87063119773251 -0.125851198762955 1.11242307049813e-06 0.0446230345149905 0.0620568693281925 0.00490975817867363 0.0354065287349076 6 7 7 Brain_Spinal_cord_cervical_c-1 ENSG00000110881 12 50451331 50477394 12q13.12
CERS5 ENSG00000139624 -4.52017315498079 -0.0710438031307782 6.17890721882829e-06 0.120848828490562 0.164680226143988 4.01634527507069e-08 5.63036725828232e-07 23 25 25 Brain_Putamen_basal_ganglia ENSG00000139624 12 50523082 50561316 12q13.12
MBD6 ENSG00000166987 5.43394332815705 0.258824905882374 5.51220940775947e-08 0.0187267424470335 0.0270319469858103 0.0193771707896264 0.0758673483851885 9 9 9 Brain_Nucleus_accumbens_basal_ganglia ENSG00000166987 12 57914493 57923931 12q13.3
MIP ENSG00000135517 5.05963220651492 0.124814762446901 4.20065941343162e-07 0.0598241458099646 0.0467099239566399 0.00464512594955224 0.0235479020247703 25 29 29 Brain_Putamen_basal_ganglia ENSG00000135517 12 56843286 56862950 12q13.3
STAT6 ENSG00000166888 -5.12816334892338 -0.162760307485938 2.92582528357743e-07 0.0277284715839033 0.0384522572328553 0.00613911814808384 0.0268363125744791 14 15 15 Brain_Caudate_basal_ganglia ENSG00000166888 12 57489191 57525922 12q13.3
POC1B ENSG00000139323 -4.54457678070967 -0.113020237909087 5.50457401120604e-06 0.0452784791604127 0.0507265056267337 0.00104268641114416 0.00374649614110359 17 18 18 Brain_Cerebellum ENSG00000139323 12 89813495 89919824 12q21.33
C12orf76 ENSG00000174456 -4.99696433922908 -0.200950821128144 5.82398332213448e-07 0.0214211984740012 0.0247717781496279 0.0434924762992901 0.198191751506416 15 16 16 Brain_Hippocampus ENSG00000174456 12 110464833 110511439 12q24.11
ENSR00000270192 ENSR00000270192 5.35819799112155 0.0681977604157055 8.40560986102661e-08 0.225392262728754 0.261967911551814 2.48639817341561e-05 0.000137166299233428 14 14 14 Brain_Sub ENSR00000270192 12 111103006 111103205 12q24.11
FAM216A ENSG00000204856 -6.96960990255596 -0.193968983836584 3.17821011155147e-12 0.0420444941103943 0.0311246404055934 0.0195191689518053 0.0627054435480065 20 20 20 Brain_Cerebellar_Hemisphere ENSG00000204856 12 110906220 110928190 12q24.11
PPP1CC ENSG00000186298 5.08118374980072 0.121071654877387 3.75090066343849e-07 0.0634255976647894 0.0704154229606515 0.00057179748435619 0.00483378816843928 14 14 14 Brain_Hippocampus ENSG00000186298 12 111157485 111180744 12q24.11
PPP1CC ENSG00000186298 5.67323924222066 0.238526345183977 1.40122323230118e-08 0.0185435153600341 0.0302655934068751 0.0232751933572868 0.0948803938724797 9 10 10 Brain_Putamen_basal_ganglia ENSG00000186298 12 111157485 111180744 12q24.11
VPS29 ENSG00000111237 6.62335623225496 0.166059004289919 3.5113342995714e-11 0.0557667964031617 0.161256068342654 9.00444935082443e-08 1.64672038083959e-06 8 10 10 Brain_Hippocampus ENSG00000111237 12 110928888 110939916 12q24.11
VPS29 ENSG00000111237 6.16056405308788 0.227721685343805 7.24862877953285e-10 0.0258330499201205 0.104163386348954 2.80573864253833e-06 2.47088679809574e-05 6 7 7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000111237 12 110928888 110939916 12q24.11
VPS29 ENSG00000111237 7.06439647307796 0.26175683644361 1.61315556444462e-12 0.0244654404901486 0.0494837468105371 0.00134697527376574 0.00619083753780905 10 12 12 Brain_Cortex ENSG00000111237 12 110928888 110939916 12q24.11
