gene_name gene zscore effect_size pvalue var_g pred_perf_r2 pred_perf_pval pred_perf_qval n_snps_used n_snps_in_cov n_snps_in_model tissue ENSG CHR START_POS END_POS arm_vector tissuearm
KANSL1-AS1 ENSG00000214401 5.51739346119006 0.0621740336680212 3.44064535660912e-08 0.294133429683309 0.616431676012709 8.17150285577859e-42 7.41901402758124e-39 26 33 33 Brain_Caudate_basal_ganglia ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
LRRC37A ENSG00000176681 6.29211354042572 0.127405288676081 3.13172272623681e-10 0.0758272899179731 0.524904270924912 7.39041220922714e-33 1.60756862242793e-30 23 30 30 Brain_Caudate_basal_ganglia ENSG00000176681 17 44370099 44415160 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
LRRC37A2 ENSG00000238083 6.192397913081 0.0713644465816072 5.92557284005501e-10 0.268190244172312 0.624147128568035 1.15467122428997e-42 1.15875433881041e-39 16 20 20 Brain_Caudate_basal_ganglia ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
MAPT-AS1 ENSG00000264589 -6.21355669211181 -0.157872602373716 5.17985317132328e-10 0.0503979802624797 0.157599178011957 9.9886493701719e-09 1.19326645393552e-07 27 32 32 Brain_Caudate_basal_ganglia ENSG00000264589 17 43876756 43973046 17q21.31 Brain_Caudate_basal_ganglia_17q21.31
ENSR00000094946 ENSR00000094946 -5.51656000277711 -0.00916184937963495 3.45699494365994e-08 13.3365634682218 0.474703880559094 1.19745685067028e-15 4.67008171761409e-14 46 72 72 Brain_Cerebellar_Hemisphere ENSR00000094946 17 43576594 43576987 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
ENSR00000094947 ENSR00000094947 -5.17303248976297 -0.00951707106347329 2.30324944971552e-07 10.8792526092742 0.429691717283746 7.66086957981383e-14 1.62967589243312e-12 44 65 65 Brain_Cerebellar_Hemisphere ENSR00000094947 17 43577167 43579166 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
ENSR00000094948 ENSR00000094948 -5.44118681880273 -0.191280687610481 5.29267738697427e-08 0.026519535735343 0.396303836781431 1.36929301321428e-12 2.18464476199187e-11 8 27 27 Brain_Cerebellar_Hemisphere ENSR00000094948 17 43651402 43652191 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
ENSR00000094992 ENSR00000094992 -5.49707786746928 -0.0882369376084641 3.86136224342025e-08 0.136884849332634 0.117676710197979 0.000416230609527139 0.000945611287663597 7 12 12 Brain_Cerebellar_Hemisphere ENSR00000094992 17 44081168 44081911 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
ENSR00000095059 ENSR00000095059 5.85288260756908 0.00929443208933753 4.83125149241116e-09 13.4259678598096 0.339012248371175 1.37237267645473e-10 1.5171742029468e-09 64 87 87 Brain_Cerebellar_Hemisphere ENSR00000095059 17 44425167 44426566 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
ENSR00000095079 ENSR00000095079 6.12894351144756 0.0100983721668793 8.84645254658302e-10 12.7229213646901 0.382768085425335 4.21877556689619e-12 6.30123499566197e-11 33 46 46 Brain_Cerebellar_Hemisphere ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
ENSR00000283527 ENSR00000283527 -5.12713853602439 -0.00998399401758446 2.94179051576431e-07 9.77357754729639 0.428972798353746 8.16548421411537e-14 1.71109549800268e-12 45 68 68 Brain_Cerebellar_Hemisphere ENSR00000283527 17 43578767 43579166 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
AC008105.3 ENSG00000267121 -5.5974270162615 -0.480328511081249 2.1755638956467e-08 0.00464352603883492 0.082367486033481 0.000117763033234289 0.000599972881151426 8 10 10 Brain_Cerebellar_Hemisphere ENSG00000267121 17 43268298 43299589 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
AC091132.2 ENSG00000236234 -5.74937225640919 -0.210359917399063 8.9575401392162e-09 0.0272678620240722 0.0787254880178338 0.000169258779120431 0.000833879710283328 7 10 10 Brain_Cerebellar_Hemisphere ENSG00000264038 17 43494179 43494272 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
AC091132.2 ENSG00000236234 -5.74937225640919 -0.210359917399063 8.9575401392162e-09 0.0272678620240722 0.0787254880178338 0.000169258779120431 0.000833879710283328 7 10 10 Brain_Cerebellar_Hemisphere ENSG00000236234 17 43530210 43541431 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
ARL17A ENSG00000185829 4.98080707830419 0.0609797297402134 6.33196397643377e-07 0.237880783680388 0.593807287160374 1.11973225852068e-35 4.15020763533129e-33 39 43 43 Brain_Cerebellar_Hemisphere ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
FMNL1 ENSG00000184922 -4.52363655718925 -0.0928021421689654 6.07860693100067e-06 0.0830351131823756 0.359213598417996 1.90981611504187e-18 5.6571470517209e-17 19 25 25 Brain_Cerebellar_Hemisphere ENSG00000184922 17 43298811 43324686 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
KANSL1-AS1 ENSG00000214401 4.67785320356427 0.0619533808891343 2.89893953420744e-06 0.200449638759625 0.569485452522788 1.7483927930701e-33 4.37224588107988e-31 30 38 38 Brain_Cerebellar_Hemisphere ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
LRRC37A ENSG00000176681 5.98797681400941 0.0902510356764199 2.12467342159909e-09 0.145971891966806 0.559265014494878 1.34246245879299e-32 2.90251570778201e-30 18 22 22 Brain_Cerebellar_Hemisphere ENSG00000176681 17 44370099 44415160 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
LRRC37A2 ENSG00000238083 5.64788668576166 0.0613081575744068 1.62432178370437e-08 0.300029872891437 0.640197230694339 3.00142880791242e-40 4.79212741054078e-37 40 48 48 Brain_Cerebellar_Hemisphere ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
NMT1 ENSG00000136448 -5.30151718449771 -0.103827997193334 1.14844235425304e-07 0.0865888333316704 0.12867449296815 1.09071324373151e-06 7.63278627339555e-06 25 26 26 Brain_Cerebellar_Hemisphere ENSG00000136448 17 43128978 43186384 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
PLEKHM1 ENSG00000225190 -5.51815659886713 -0.142575841465884 3.42574101367428e-08 0.0529243961126302 0.529526837899326 3.9123019665828e-30 5.84199565599947e-28 18 28 28 Brain_Cerebellar_Hemisphere ENSG00000225190 17 43513266 43568115 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
SPPL2C ENSG00000185294 5.20441883937186 0.0861548327474329 1.94604649915211e-07 0.128746149115242 0.356864758024916 2.62919706679746e-18 7.63239361097176e-17 16 24 24 Brain_Cerebellar_Hemisphere ENSG00000185294 17 43922247 43924433 17q21.31 Brain_Cerebellar_Hemisphere_17q21.31
ENSR00000094946 ENSR00000094946 -4.52368945505176 -0.00616206927446874 6.0770871543801e-06 20.0403423265595 0.413802073183629 2.3243886383371e-15 8.91015644695888e-14 15 27 27 Brain_Cerebellum ENSR00000094946 17 43576594 43576987 17q21.31 Brain_Cerebellum_17q21.31
ENSR00000095056 ENSR00000095056 4.83098037499266 0.0521686828245226 1.35862397136489e-06 0.293840066482337 0.199944533777805 3.05673253157438e-07 1.87202258590502e-06 50 92 92 Brain_Cerebellum ENSR00000095056 17 44420664 44421105 17q21.31 Brain_Cerebellum_17q21.31
ENSR00000095058 ENSR00000095058 6.01048872909229 0.0238131014171493 1.84964868914775e-09 2.22977632088862 0.413884001355963 2.3050798315259e-15 8.91015644695888e-14 51 82 82 Brain_Cerebellum ENSR00000095058 17 44423367 44423566 17q21.31 Brain_Cerebellum_17q21.31
ENSR00000095059 ENSR00000095059 6.13344846472083 0.0147425184630773 8.59942844333332e-10 5.91161803804951 0.351297522834425 9.91931083397425e-13 1.80113801985322e-11 46 70 70 Brain_Cerebellum ENSR00000095059 17 44425167 44426566 17q21.31 Brain_Cerebellum_17q21.31
ENSR00000095079 ENSR00000095079 5.89946356585456 0.015722394465858 3.64685291136062e-09 4.9101257796249 0.357570388991376 5.54404162176664e-13 1.08265718462801e-11 25 37 37 Brain_Cerebellum ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Cerebellum_17q21.31
ENSR00000283527 ENSR00000283527 -4.53777472502439 -0.00726768396145479 5.68509432212934e-06 14.2072361413261 0.406300178090356 4.96551879141366e-15 1.5420200148938e-13 13 25 25 Brain_Cerebellum ENSR00000283527 17 43578767 43579166 17q21.31 Brain_Cerebellum_17q21.31
AC008105.3 ENSG00000267121 -5.96716995829001 -0.153511576818717 2.41403922308802e-09 0.052879818402617 0.12919276563974 9.05123873930158e-08 5.72617698543338e-07 18 19 19 Brain_Cerebellum ENSG00000267121 17 43268298 43299589 17q21.31 Brain_Cerebellum_17q21.31
AC091132.2 ENSG00000236234 -5.98191875264177 -0.17098531616412 2.20524271379287e-09 0.0472445159301111 0.15744300577766 2.71583989211391e-09 2.00945347815873e-08 9 11 11 Brain_Cerebellum ENSG00000264038 17 43494179 43494272 17q21.31 Brain_Cerebellum_17q21.31
AC091132.2 ENSG00000236234 -5.98191875264177 -0.17098531616412 2.20524271379287e-09 0.0472445159301111 0.15744300577766 2.71583989211391e-09 2.00945347815873e-08 9 11 11 Brain_Cerebellum ENSG00000236234 17 43530210 43541431 17q21.31 Brain_Cerebellum_17q21.31
AC091132.4 ENSG00000267198 -4.87995767428318 -0.293598025865384 1.06108610330261e-06 0.00990364621988065 0.150756481671883 6.28228149060531e-09 4.44011349391569e-08 9 14 14 Brain_Cerebellum ENSG00000267198 17 43623170 43640596 17q21.31 Brain_Cerebellum_17q21.31
ARL17A ENSG00000185829 4.89287632768397 0.0508624865821422 9.93728553467353e-07 0.331436012243366 0.543187164344109 4.54086950335929e-37 5.50967582341127e-35 35 38 38 Brain_Cerebellum ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Cerebellum_17q21.31
FAM215B ENSG00000232300 5.21345429350111 0.0826452809010203 1.85356216209152e-07 0.145389277692036 0.334247471104843 4.9003610345776e-20 1.02148439401011e-18 15 22 22 Brain_Cerebellum ENSG00000232300 17 44636196 44640161 17q21.31 Brain_Cerebellum_17q21.31
FMNL1 ENSG00000184922 -5.99641581342955 -0.103256918075426 2.01720108503363e-09 0.121245196139478 0.329490678283806 1.0310419268811e-19 2.07702505634943e-18 22 30 30 Brain_Cerebellum ENSG00000184922 17 43298811 43324686 17q21.31 Brain_Cerebellum_17q21.31
KANSL1-AS1 ENSG00000214401 5.24529418383371 0.0508948815513308 1.56033156028096e-07 0.375551694156507 0.563540157019875 3.98664242662569e-39 6.02040368182013e-37 34 40 40 Brain_Cerebellum ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Cerebellum_17q21.31
LRRC37A ENSG00000176681 6.45036092828964 0.0885063649359348 1.11584086691849e-10 0.180187916531216 0.645616676487028 1.61359247326207e-48 1.02639150321952e-45 34 42 42 Brain_Cerebellum ENSG00000176681 17 44370099 44415160 17q21.31 Brain_Cerebellum_17q21.31
LRRC37A2 ENSG00000238083 6.13511114412342 0.0586331755891314 8.50996770634774e-10 0.378082203153598 0.657169192920821 5.17938166683037e-50 4.53001669035152e-47 44 51 51 Brain_Cerebellum ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Cerebellum_17q21.31
MAPT ENSG00000186868 -4.61391817284082 -0.164120513656424 3.95148045446866e-06 0.0278546723409884 0.0606891922741842 0.000323542676750502 0.0012590812620819 7 8 8 Brain_Cerebellum ENSG00000186868 17 43971748 44105700 17q21.31 Brain_Cerebellum_17q21.31
MAPT-AS1 ENSG00000264589 -5.51990733036218 -0.196586722188612 3.39178486530974e-08 0.0277748380629073 0.0199581574028647 0.0413144188335207 0.107623599619562 16 17 17 Brain_Cerebellum ENSG00000264589 17 43876756 43973046 17q21.31 Brain_Cerebellum_17q21.31
NSF ENSG00000073969 -4.90278712143045 -0.414078289779828 9.44863625101351e-07 0.00512773615309747 0.179272866359104 1.68733934314984e-10 1.42416325500837e-09 12 18 18 Brain_Cerebellum ENSG00000073969 17 44668035 44834830 17q21.31 Brain_Cerebellum_17q21.31
PLEKHM1 ENSG00000225190 -5.68644922677746 -0.0658244475839651 1.29707925280006e-08 0.271428466469141 0.621457422922666 1.51475698846883e-45 5.07629896393709e-43 22 27 27 Brain_Cerebellum ENSG00000225190 17 43513266 43568115 17q21.31 Brain_Cerebellum_17q21.31
SPPL2C ENSG00000185294 5.74908969027071 0.0968341119535763 8.97252145126977e-09 0.125854717090442 0.357045314304112 1.28846073850145e-21 3.08041906171798e-20 15 21 21 Brain_Cerebellum ENSG00000185294 17 43922247 43924433 17q21.31 Brain_Cerebellum_17q21.31
ENSR00000094946 ENSR00000094946 -5.73257023472894 -0.134751081745849 9.89200513834443e-09 0.0636576851601444 0.234220323794202 9.74521792266861e-08 5.18035268520805e-07 5 7 7 Brain_Cortex ENSR00000094946 17 43576594 43576987 17q21.31 Brain_Cortex_17q21.31
ENSR00000094947 ENSR00000094947 -5.22499456901104 -0.107775949697094 1.74160221345273e-07 0.0824373470637705 0.326126518091235 8.92485989368493e-11 9.01410849262178e-10 9 14 14 Brain_Cortex ENSR00000094947 17 43577167 43579166 17q21.31 Brain_Cortex_17q21.31
ENSR00000095056 ENSR00000095056 5.28871379098065 0.242597023111693 1.23179457137636e-07 0.0145839312664094 0.0663821534781476 0.00683601717514626 0.00987760151145865 20 32 32 Brain_Cortex ENSR00000095056 17 44420664 44421105 17q21.31 Brain_Cortex_17q21.31
ENSR00000095057 ENSR00000095057 4.87341140962892 0.110251612329148 1.09687466826984e-06 0.0622124834527412 0.132581695302049 9.93548784421554e-05 0.000258629967078807 39 55 55 Brain_Cortex ENSR00000095057 17 44422567 44422966 17q21.31 Brain_Cortex_17q21.31
ENSR00000095058 ENSR00000095058 5.41453554438553 0.0733389529085176 6.14479965311444e-08 0.181190711011228 0.238532787314422 7.14306570995928e-08 3.92092193861895e-07 60 86 86 Brain_Cortex ENSR00000095058 17 44423367 44423566 17q21.31 Brain_Cortex_17q21.31
ENSR00000095059 ENSR00000095059 5.6534421003321 0.0637140905945491 1.57266104049177e-08 0.264791003251541 0.309398794535207 3.39742893641023e-10 2.85950268814528e-09 52 80 80 Brain_Cortex ENSR00000095059 17 44425167 44426566 17q21.31 Brain_Cortex_17q21.31
ENSR00000095079 ENSR00000095079 5.25232059096458 0.0523391392046608 1.50194738294953e-07 0.324228422817964 0.306891262257025 4.14030875832732e-10 3.42763266058245e-09 39 62 62 Brain_Cortex ENSR00000095079 17 44643167 44644566 17q21.31 Brain_Cortex_17q21.31
ENSR00000283527 ENSR00000283527 -5.04883941604318 -0.0804432374206989 4.44502171585865e-07 0.137934755469304 0.338011811387184 3.38663949502813e-11 3.71794118475914e-10 17 25 25 Brain_Cortex ENSR00000283527 17 43578767 43579166 17q21.31 Brain_Cortex_17q21.31
ARHGAP27 ENSG00000159314 4.58637661824781 0.131008175776132 4.51004725779181e-06 0.0409998275738387 0.111434809894564 1.00137835407729e-06 7.88510069160225e-06 11 13 13 Brain_Cortex ENSG00000159314 17 43471268 43511787 17q21.31 Brain_Cortex_17q21.31
ARL17A ENSG00000185829 4.55872241960788 0.0821085826174855 5.14657403409644e-06 0.109513386097528 0.479123445470563 1.42476412032955e-30 1.39129873052646e-28 19 28 28 Brain_Cortex ENSG00000185829 17 44594068 44657048 17q21.31 Brain_Cortex_17q21.31
CRHR1 ENSG00000120088 4.62843446597111 0.10214517475463 3.6844041735686e-06 0.0628922226654055 0.0453572682468083 0.00217010773302142 0.00948998372313782 29 31 31 Brain_Cortex ENSG00000120088 17 43861646 43913194 17q21.31 Brain_Cortex_17q21.31
KANSL1-AS1 ENSG00000214401 5.44770068041574 0.0525306773527246 5.10251305213923e-08 0.386502956644464 0.635124700547668 2.52744714069247e-46 1.82978457651167e-43 37 48 48 Brain_Cortex ENSG00000214401 17 44270942 44274089 17q21.31 Brain_Cortex_17q21.31
LRRC37A ENSG00000176681 6.16605194673884 0.097917788602598 7.00160916343103e-10 0.127208086690527 0.627761912527932 1.93118735524647e-45 1.35150928411332e-42 31 34 34 Brain_Cortex ENSG00000176681 17 44370099 44415160 17q21.31 Brain_Cortex_17q21.31
LRRC37A2 ENSG00000238083 5.22035384146781 0.0603503401266155 1.78581597563477e-07 0.262749021681677 0.750815009267088 3.59882895508517e-63 3.77787069560065e-59 55 63 63 Brain_Cortex ENSG00000238083 17 44588877 44633016 17q21.31 Brain_Cortex_17q21.31
ENSR00000094947 ENSR00000094947 -5.04740043100964 -0.10882680162132 4.47862040514295e-07 0.0755275414965002 0.357818198023519 1.27847765511587e-11 1.47677214856241e-10 34 61 61 Brain_Frontal_Cortex_BA9 ENSR00000094947 17 43577167 43579166 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
ENSR00000095056 ENSR00000095056 5.27367987562487 0.0904477362077524 1.33715068855905e-07 0.103873386084608 0.390051137142459 8.43113817604229e-13 1.25579584411577e-11 89 114 114 Brain_Frontal_Cortex_BA9 ENSR00000095056 17 44420664 44421105 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
ENSR00000095057 ENSR00000095057 6.65892420328784 0.119902199835977 2.75839134746614e-11 0.0878867523005971 0.418251298150866 6.95626945803634e-14 1.57489940529943e-12 26 37 37 Brain_Frontal_Cortex_BA9 ENSR00000095057 17 44422567 44422966 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
ENSR00000095058 ENSR00000095058 6.35492966881772 0.0707512751697296 2.08522004226484e-10 0.230417806215509 0.462556178532803 1.07765067328614e-15 4.84522557464268e-14 15 26 26 Brain_Frontal_Cortex_BA9 ENSR00000095058 17 44423367 44423566 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
ENSR00000095059 ENSR00000095059 6.99930178689187 0.0532772442894678 2.57241227296707e-12 0.525301612573348 0.389421170614862 8.90294626079502e-13 1.29206861118205e-11 9 16 16 Brain_Frontal_Cortex_BA9 ENSR00000095059 17 44425167 44426566 17q21.31 Brain_Frontal_Cortex_BA9_17q21.31
